"Adduct","AllGroups","Analog:Adduct","Analog:Compound_Name","Analog:Compound_Source","Analog:Data_Collector","Analog:GNPSLibraryURL","Analog:INCHI","Analog:Instrument","Analog:Ion_Source","Analog:IonMode","Analog:Library_Class","Analog:MassDiff","Analog:MQScore","Analog:MZErrorPPM","Analog:PI","Analog:SharedPeaks","Analog:Smiles","Analog:SpectrumID","ATTRIBUTE_Con/Inf","ATTRIBUTE_Gut_section","ATTRIBUTE_Organism","ATTRIBUTE_Pool","ATTRIBUTE_Time_point","charge","cluster index","componentindex","Compound_Name","Compound_Source","Data_Collector","DefaultGroups","G1","G2","G3","G4","G5","G6","GNPSGROUP:0","GNPSGROUP:1","GNPSGROUP:2","GNPSGROUP:3","GNPSGROUP:4","GNPSGROUP:ACN","GNPSGROUP:AM","GNPSGROUP:Blank","GNPSGROUP:c1","GNPSGROUP:c2","GNPSGROUP:c3","GNPSGROUP:Con","GNPSGROUP:Extraction_blank","GNPSGROUP:H","GNPSGROUP:Inf","GNPSGROUP:No_gut_section","GNPSGROUP:No_timepoint","GNPSGROUP:PBS","GNPSGROUP:PM","GNPSGROUP:R.prolixus_starved","GNPSGROUP:Starved","GNPSGROUP:T.cruzi_epi","GNPSGROUP:T.cruzi_tryp","GNPSLibraryURL","GNPSLinkout_Cluster","GNPSLinkout_Network","INCHI","Instrument","Ion_Source","IonMode","Library_Class","MassDiff","MQScore","MZErrorPPM","name","number of spectra","parent mass","PI","precursor mass","RTConsensus","RTMean","selected","shared name","SharedPeaks","Smiles","SpectrumID","sum(precursor intensity)","UniqueFileSources"
"","N/A","M+H","PC(0:0/18:0); [M+H]+ C26H55N1O7P1","Commercial","Thomas Metz","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003129076","N/A","CID; Velos","LC-ESI","Positive","1","47.5621","0.834131","90877.7","Thomas Metz","7","N/A","CCMSLIB00003129076","Inf,Con","AM","T.cruzi_tryp,T.cruzi_epi","3,c1,1,2","3,0,1,2","0","4021","45","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","13210.173083333331","14139.52758088235","2832.4783235294117","2635.524735294118","0.0","0.0","17723.850982456137","0.0","7838.544351851852","0.0","0.0","2612.8481172839506","0.0","0.0","9859.491462962962","0.0","0.0","0.0","0.0","0.0","0.0","8447.57971111111","3471.9073888888893","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""4021.0"",""main.cluster index_upperinput"":""4021.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=45&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","4021","7","475.8019","","475.8019","12.7918","12.7918","false","4021","","","","1010259.5059999999","N/A"
"[M+Na]+","N/A","[M+Na]+","OUABAIN","isolated","MoNA:VF-NPL-QEHF015046","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00004706109","InChI=1S/C29H44O12/c1-13-22(34)23(35)24(36)25(40-13)41-15-8-19(32)28(12-30)21-17(3-5-27(28,37)9-15)29(38)6-4-16(14-7-20(33)39-11-14)26(29,2)10-18(21)31/h7,13,15-19,21-25,30-32,34-38H,3-6,8-12H2,1-2H3/t13-,15-,16+,17+,18+,19+,21+,22-,23+,24+,25-,26+,27-,28+,29-/m0/s1","ESI-QFT","N/A","positive","3","0.11804200000000001","0.7745810000000001","194.38099999999997","MoNA","8","N/A","CCMSLIB00004706109","Inf,Starved,Blank,Con","H,PM,No_gut_section,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved,PBS,Extraction_blank","c3,3,c2,c1,1,2","No_timepoint,4,3,0,1,2","0","184","11","OUABAIN","isolated","MoNA:VF-NPL-QEHF015046","N/A","0.0","0.0","0.0","0.0","0.0","0.0","569154.5317361107","653592.9900220588","688071.1306838236","692017.4814411764","808390.425166667","0.0","580505.4483771928","654653.3792857138","459260.1371296296","476813.237148148","485228.23011111096","473767.20146296284","797939.817333332","665179.8509736841","764135.8613209877","763762.2758333328","744385.792599999","729584.7343333334","628935.0746754386","731468.1371111099","731468.1371111099","835589.6000944444","348153.94551388896","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00004706109","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""184.0"",""main.cluster index_upperinput"":""184.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=11&task=5a6231ed03724b088fa0055e33397038&show=true","InChI=1S/C29H44O12/c1-13-22(34)23(35)24(36)25(40-13)41-15-8-19(32)28(12-30)21-17(3-5-27(28,37)9-15)29(38)6-4-16(14-7-20(33)39-11-14)26(29,2)10-18(21)31/h7,13,15-19,21-25,30-32,34-38H,3-6,8-12H2,1-2H3/t13-,15-,16+,17+,18+,19+,21+,22-,23+,24+,25-,26+,27-,28+,29-/m0/s1","ESI-QFT","N/A","positive","3","0.11804200000000001","0.7745810000000001","194.38099999999997","184","176","607.39","MoNA","607.39","16.718","16.718","false","184","8","N/A","CCMSLIB00004706109","1.114359349745E8","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Starved,Con","PM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved","c3,3,c2,c1,1,2","No_timepoint,4,3,1,2","0","13873","6","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14833.716750000005","25658.053257352924","48818.64711029413","125057.7240833333","0.0","0.0","0.0","32482.93940740742","29179.116611111145","25320.627833333343","28994.2279506173","0.0","0.0","36696.81827160493","0.0","2048.6915666666528","0.0","93889.56346491228","3414.485944444421","3414.485944444421","56619.086655555555","3128.5686805555597","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""13873.0"",""main.cluster index_upperinput"":""13873.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","13873","23","682.5968","","682.5968","19.705","19.705","false","13873","","","","5351705.117500001","N/A"
"M+H","N/A","M+H","Spectral Match to 1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine from NIST14","Isolated","Data deposited by negarg","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003138058","N/A","HCD","ESI","Positive","3","98.149","0.917026","138915.0","Data from Pieter C. Dorrestein","6","N/A","CCMSLIB00003138058","Inf,Con","AM","T.cruzi_tryp,T.cruzi_epi","c3,3,c2,c1,1,2","4,3,0,1,2","0","6267","246","Spectral Match to 1-Lignoceroyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14","Isolated","Data deposited by daniel","N/A","0.0","0.0","0.0","0.0","0.0","0.0","5614.964180555552","6997.5488161764715","2655.9709044117662","2790.1254117647036","1251.2212777777863","0.0","11664.312894736839","0.0","1726.2027962962932","5729.004481481475","2133.7967037036997","3196.3346604938224","0.0","0.0","5011.885524691361","0.0","0.0","0.0","0.0","0.0","0.0","814.2437500000011","8216.443020833329","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003136467","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""6267.0"",""main.cluster index_upperinput"":""6267.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=246&task=5a6231ed03724b088fa0055e33397038&show=true","N/A","HCD","ESI","Positive","3","0.0750122","0.704581","123.281","6267","14","608.39","Data from Pieter C. Dorrestein","608.39","11.6533","11.6533","false","6267","7","N/A","CCMSLIB00003136467","664865.8349999998","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Starved,Blank,Con","H,PM,No_gut_section,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved,PBS,Extraction_blank","c3,3,c2,c1,1,2","No_timepoint,4,3,0,1,2","0","4593","6","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","44929.14397222216","26380.06036029408","31301.439867647026","27566.902867647023","27706.867444444306","0.0","15306.267377193017","41500.133785714155","42990.75337037046","41610.49590740742","58078.336166666515","47559.8618148148","56587.901500000116","46311.679649122685","20616.384734567848","48416.82274999985","48057.40489999986","40245.743999999584","42814.265385964885","47817.792999999874","47817.792999999874","51882.12968333328","11845.615263888874","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""4593.0"",""main.cluster index_upperinput"":""4593.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","4593","80","692.5154","","692.5154","17.2878","17.2878","false","4593","","","","6243137.043999992","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Starved,Blank,Con","H,PM,No_gut_section,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved,PBS,Extraction_blank","c3,3,c2,c1,1,2","No_timepoint,4,3,0,1,2","0","279","17","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","195358.0876666667","108835.50255882344","115053.44415441182","115504.59565441172","202808.00202777798","0.0","106380.96043859646","24326.307642857148","219772.65031481467","161419.02900000016","131404.1565185187","170865.2786111112","29964.79666666671","153319.47635964912","120233.73043209872","28380.692250000004","29616.278400000043","26796.5878333333","158772.89223684216","30440.002500000068","30440.002500000068","194145.99081666672","84803.89665277774","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""279.0"",""main.cluster index_upperinput"":""279.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=17&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","279","143","468.4403","","468.4403","11.7215","11.7215","false","279","","","","2.40232639085E7","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Starved,Con","H,PM,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved","c3,3,c2,c1,1,2","No_timepoint,4,3,0,1,2","0","10726","2","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","82021.5801666666","241885.31956617642","195122.77776470588","333859.88933088235","477181.82386111096","0.0","107587.23245614028","0.0","253572.4600185184","421514.6088703704","258062.78198148144","311049.9502901234","0.0","203551.80042105258","230066.21424691356","0.0","99686.67513333328","0.0","484048.85228947364","166144.45855555547","166144.45855555547","417062.7077277777","87427.30044444445","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10726.0"",""main.cluster index_upperinput"":""10726.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","10726","29","750.4057","","750.4057","16.1486","16.1486","false","10726","","","","4.532570945449998E7","N/A"
"","N/A","M+H","Ceramide (18:1/16:0)","Other","Quinn","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000223895","","qTof","LC-ESI","Positive","3","10.019","0.891076","18604.7","Rohwer","8","","CCMSLIB00000223895","Inf,Starved,Con","PM,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved","c3,3,c2,c1,1,2","No_timepoint,4,3,0,1,2","0","6642","16","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","3968.8941249999993","24239.97547794115","32933.121272058874","47799.55394852939","32359.068111111206","0.0","71341.15585964921","0.0","16492.823111111218","16619.022722222264","22545.808833333445","18552.551555555645","0.0","0.0","38281.46024074071","0.0","10608.695133333338","0.0","12214.728043859646","17681.158555555565","17681.158555555565","36871.568833333375","17848.80222916668","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""6642.0"",""main.cluster index_upperinput"":""6642.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=16&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","6642","52","548.539","","548.539","20.4723","20.4723","false","6642","","","","4762685.382500005","N/A"
"","N/A","","","","","","","","","","","","","","","","","","Inf,Con","PM,AM","T.cruzi_tryp,T.cruzi_epi","c3,3,c2,c1,1,2","3,0,1,2","0","3569","85","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","94474.97322222216","15560.843147058802","39691.45990441174","55276.94133088235","0.0","0.0","88167.51671929819","0.0","49899.46746296294","76021.56138888889","9494.079629629623","45138.36949382715","0.0","0.0","44820.245216049356","0.0","0.0","0.0","39668.409447368416","0.0","0.0","5989.499788888888","93716.56681249996","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3569.0"",""main.cluster index_upperinput"":""3569.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=85&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","3569","18","671.4828","","671.4828","15.7136","15.7136","false","3569","","","","7286647.791499997","N/A"
"","N/A","M+H","Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","Isolated","Data deposited by TJLing","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003136135","N/A","HCD","ESI","Positive","3","68.1377","0.987022","89585.8","Data from Tie-Jun Ling","8","N/A","CCMSLIB00003136135","Inf,Starved,Con","H,PM,AM","T.cruzi_tryp,T.cruzi_epi,R.prolixus_starved","c3,3,c2,c1,1,2","No_timepoint,4,3,0,1,2","0","2067","21","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","79829.89358333328","85649.58051470587","98518.16947058825","94364.79241911763","137425.55638888886","0.0","132669.32508771922","0.0","91155.3662222222","139211.69583333324","99299.03170370364","109888.69791975303","0.0","1245.8845789473655","84839.88201851853","0.0","109513.57659999994","0.0","171623.7135614035","182522.62766666658","182522.62766666658","106467.72557777773","85984.99545833335","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a6231ed03724b088fa0055e33397038&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2067.0"",""main.cluster index_upperinput"":""2067.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=21&task=5a6231ed03724b088fa0055e33397038&show=true","","","","","","","","","2067","72","692.4483","","692.4483","11.8097","11.8097","false","2067","","","","1.7415718623999994E7","N/A"
