filename	ATTRIBUTE_Organism	ATTRIBUTE_Pool	ATTRIBUTE_Time_point	ATTRIBUTE_Gut_section	ATTRIBUTE_Con/Inf
1.mzXML	T.cruzi_tryp	c1	0	AM	Con
2.mzXML	T.cruzi_tryp	c1	0	PM	Con
3.mzXML	T.cruzi_tryp	c1	0	H	Con
4.mzXML	T.cruzi_tryp	c2	0	AM	Con
5.mzXML	T.cruzi_tryp	c2	0	PM	Con
6.mzXML	T.cruzi_tryp	c2	0	H	Con
7.mzXML	T.cruzi_tryp	c3	0	AM	Con
8.mzXML	T.cruzi_tryp	c3	0	PM	Con
9.mzXML	T.cruzi_tryp	c3	0	H	Con
10.mzXML	T.cruzi_tryp	c1	1	AM	Con
11.mzXML	T.cruzi_tryp	c1	1	PM	Con
12.mzXML	T.cruzi_tryp	c1	1	H	Con
13.mzXML	T.cruzi_tryp	c2	1	AM	Con
14.mzXML	T.cruzi_tryp	c2	1	PM	Con
15.mzXML	T.cruzi_tryp	c2	1	H	Con
16.mzXML	T.cruzi_tryp	c3	1	AM	Con
17.mzXML	T.cruzi_tryp	c3	1	PM	Con
18.mzXML	T.cruzi_tryp	c3	1	H	Con
19.mzXML	T.cruzi_tryp	c1	2	AM	Con
20.mzXML	T.cruzi_tryp	c1	2	PM	Con
21.mzXML	T.cruzi_tryp	c1	2	H	Con
22.mzXML	T.cruzi_tryp	c2	2	AM	Con
23.mzXML	T.cruzi_tryp	c2	2	PM	Con
24.mzXML	T.cruzi_tryp	c2	2	H	Con
25.mzXML	T.cruzi_tryp	c3	2	AM	Con
26.mzXML	T.cruzi_tryp	c3	2	PM	Con
27.mzXML	T.cruzi_tryp	c3	2	H	Con
28.mzXML	T.cruzi_tryp	c1	3	AM	Con
29.mzXML	T.cruzi_tryp	c1	3	PM	Con
30.mzXML	T.cruzi_tryp	c1	3	H	Con
31.mzXML	T.cruzi_tryp	c2	3	AM	Con
32.mzXML	T.cruzi_tryp	c2	3	PM	Con
33.mzXML	T.cruzi_tryp	c2	3	H	Con
34.mzXML	T.cruzi_tryp	c3	3	AM	Con
35.mzXML	T.cruzi_tryp	c3	3	PM	Con
36.mzXML	T.cruzi_tryp	c3	3	H	Con
37.mzXML	T.cruzi_tryp	1	0	AM	Inf
38.mzXML	T.cruzi_tryp	1	0	PM	Inf
39.mzXML	T.cruzi_tryp	1	0	H	Inf
40.mzXML	T.cruzi_tryp	2	0	AM	Inf
41.mzXML	T.cruzi_tryp	2	0	PM	Inf
42.mzXML	T.cruzi_tryp	2	0	H	Inf
43.mzXML	T.cruzi_tryp	3	0	AM	Inf
44.mzXML	T.cruzi_tryp	3	0	PM	Inf
45.mzXML	T.cruzi_tryp	3	0	H	Inf
46.mzXML	T.cruzi_tryp	1	1	AM	Inf
47.mzXML	T.cruzi_tryp	1	1	PM	Inf
48.mzXML	T.cruzi_tryp	1	1	H	Inf
49.mzXML	T.cruzi_tryp	2	1	AM	Inf
50.mzXML	T.cruzi_tryp	2	1	PM	Inf
51.mzXML	T.cruzi_tryp	2	1	H	Inf
52.mzXML	T.cruzi_tryp	3	1	AM	Inf
53.mzXML	T.cruzi_tryp	3	1	PM	Inf
54.mzXML	T.cruzi_tryp	3	1	H	Inf
55.mzXML	T.cruzi_tryp	1	2	AM	Inf
56.mzXML	T.cruzi_tryp	1	2	PM	Inf
57.mzXML	T.cruzi_tryp	1	2	H	Inf
58.mzXML	T.cruzi_tryp	2	2	AM	Inf
59.mzXML	T.cruzi_tryp	2	2	PM	Inf
60.mzXML	T.cruzi_tryp	2	2	H	Inf
61.mzXML	T.cruzi_tryp	3	2	AM	Inf
62.mzXML	T.cruzi_tryp	3	2	PM	Inf
63.mzXML	T.cruzi_tryp	3	2	H	Inf
64.mzXML	T.cruzi_tryp	1	3	AM	Inf
65.mzXML	T.cruzi_tryp	1	3	PM	Inf
66.mzXML	T.cruzi_tryp	1	3	H	Inf
67.mzXML	T.cruzi_tryp	2	3	AM	Inf
68.mzXML	T.cruzi_tryp	2	3	PM	Inf
69.mzXML	T.cruzi_tryp	2	3	H	Inf
70.mzXML	T.cruzi_tryp	3	3	AM	Inf
71.mzXML	T.cruzi_tryp	3	3	PM	Inf
72.mzXML	T.cruzi_tryp	3	3	H	Inf
