,col_name,feature_importance_vals
787,787,0.003213825488798936
7,7,0.002918434036478651
81,81,0.0028685157513189566
1539,componentindex_202.0,0.0028547068123883196
770,770,0.002753542469511883
1322,1322,0.00274994576018661
218,218,0.0027473774043923907
1318,1318,0.002586376319092975
322,322,0.002579685740443463
1284,1284,0.002578374429263031
811,811,0.0025432013035675952
1379,1379,0.0025281235271147062
208,208,0.0025215363145572284
551,551,0.0024807022563593842
579,579,0.0024792927698466974
783,783,0.0024624823473095962
819,819,0.002456237816076279
523,523,0.002443422639627684
1101,1101,0.0024428749804436293
724,724,0.002432447842372554
563,563,0.002428512598586889
957,957,0.0024252985111384135
538,538,0.0024179865644254252
685,685,0.002413497934349261
1158,1158,0.002410718163806217
