,col_name,feature_importance_vals
787,787,6.792979179117928
1196,1196,4.3817464572879485
187,187,2.271436201349254
1417,1417,1.9379186467666363
504,504,1.9328505336655604
632,632,1.617326301575112
996,996,1.5607241906975082
1439,componentindex_4.0,1.469794766425587
292,292,1.434872961903796
208,208,1.3974357076264905
1200,1200,1.3973273842182468
486,486,1.350898766354611
84,84,1.3453285458316755
1288,1288,1.2756161888543136
1541,componentindex_208.0,1.1707676031984766
952,952,1.1062151355985568
1017,1017,1.1048355429843721
538,538,1.1038463352780576
87,87,1.017202055656055
21,21,0.9841765491525288
957,957,0.9626376133014453
1034,1034,0.9334287335292455
118,118,0.9171168191233044
622,622,0.9018603675762276
947,947,0.8955932650313637
