,col_name,feature_importance_vals
13,1002,1.1976916395591517
15,927,1.1750028019822791
1,1196,1.093129923092424
2,208,1.0411164262801698
20,1006,0.8333009620237951
18,316,0.6629515580145033
6,81,0.5753678663357478
7,161,0.5744275769787546
14,18,0.570784104966889
4,717,0.49732551874648434
10,1200,0.48960983116952494
8,959,0.4506882040574135
21,1288,0.4083299561627688
12,991,0.4001652556303831
0,787,0.2709774680410231
23,486,0.17524377749457132
24,componentindex_251.0,0.17524377749457132
5,993,0.1609893747556042
19,996,0.14592909556846553
17,157,0.12964368942457533
11,componentindex_51.0,0.12851351377449108
3,187,0.08979135869649436
22,957,0.05311792338824386
9,952,0.04884914711095014
16,componentindex_208.0,0.040383517885656195
